kuntanumero;nimi_suomeksi
018;Askola
049;Espoo
078;Hanko
091;Helsinki
092;Vantaa
106;Hyvinkää
149;Inkoo
186;Järvenpää
224;Karkkila
235;Kauniainen
245;Kerava
257;Kirkkonummi
407;Lapinjärvi
434;Loviisa
444;Lohja
504;Myrskylä
505;Mäntsälä
543;Nurmijärvi
611;Pornainen
616;Pukkila
638;Porvoo
710;Raasepori
753;Sipoo
755;Siuntio
858;Tuusula
927;Vihti
019;Aura
202;Kaarina
284;Koski Tl
304;Kustavi
322;Kemiönsaari
400;Laitila
423;Lieto
430;Loimaa
445;Parainen
480;Marttila
481;Masku
503;Mynämäki
529;Naantali
538;Nousiainen
561;Oripää
577;Paimio
631;Pyhäranta
636;Pöytyä
680;Raisio
704;Rusko
734;Salo
738;Sauvo
761;Somero
833;Taivassalo
853;Turku
895;Uusikaupunki
918;Vehmaa
050;Eura
051;Eurajoki
079;Harjavalta
102;Huittinen
181;Jämijärvi
214;Kankaanpää
230;Karvia
271;Kokemäki
484;Merikarvia
531;Nakkila
608;Pomarkku
609;Pori
684;Rauma
747;Siikainen
783;Säkylä
886;Ulvila
061;Forssa
082;Hattula
086;Hausjärvi
103;Humppila
109;Hämeenlinna
165;Janakkala
169;Jokioinen
433;Loppi
694;Riihimäki
834;Tammela
981;Ypäjä
020;Akaa
108;Hämeenkyrö
143;Ikaalinen
177;Juupajoki
211;Kangasala
250;Kihniö
291;Kuhmoinen
418;Lempäälä
508;Mänttä-Vilppula
536;Nokia
562;Orivesi
581;Parkano
604;Pirkkala
619;Punkalaidun
635;Pälkäne
702;Ruovesi
790;Sastamala
837;Tampere
887;Urjala
908;Valkeakoski
922;Vesilahti
936;Virrat
980;Ylöjärvi
016;Asikkala
081;Hartola
098;Hollola
111;Heinola
142;Iitti
316;Kärkölä
398;Lahti
560;Orimattila
576;Padasjoki
781;Sysmä
075;Hamina
285;Kotka
286;Kouvola
489;Miehikkälä
624;Pyhtää
935;Virolahti
153;Imatra
405;Lappeenranta
416;Lemi
441;Luumäki
580;Parikkala
689;Rautjärvi
700;Ruokolahti
739;Savitaipale
831;Taipalsaari
046;Enonkoski
097;Hirvensalmi
178;Juva
213;Kangasniemi
491;Mikkeli
507;Mäntyharju
588;Pertunmaa
593;Pieksämäki
623;Puumala
681;Rantasalmi
740;Savonlinna
768;Sulkava
140;Iisalmi
171;Joroinen
204;Kaavi
239;Keitele
263;Kiuruvesi
297;Kuopio
402;Lapinlahti
420;Leppävirta
595;Pielavesi
686;Rautalampi
687;Rautavaara
749;Siilinjärvi
762;Sonkajärvi
778;Suonenjoki
844;Tervo
857;Tuusniemi
915;Varkaus
921;Vesanto
925;Vieremä
090;Heinävesi
146;Ilomantsi
167;Joensuu
176;Juuka
260;Kitee
276;Kontiolahti
309;Outokumpu
422;Lieksa
426;Liperi
541;Nurmes
607;Polvijärvi
707;Rääkkylä
848;Tohmajärvi
077;Hankasalmi
172;Joutsa
179;Jyväskylä
182;Jämsä
216;Kannonkoski
226;Karstula
249;Keuruu
256;Kinnula
265;Kivijärvi
275;Konnevesi
312;Kyyjärvi
410;Laukaa
435;Luhanka
495;Multia
500;Muurame
592;Petäjävesi
601;Pihtipudas
729;Saarijärvi
850;Toivakka
892;Uurainen
931;Viitasaari
992;Äänekoski
005;Alajärvi
010;Alavus
052;Evijärvi
145;Ilmajoki
151;Isojoki
152;Isokyrö
218;Karijoki
232;Kauhajoki
233;Kauhava
300;Kuortane
301;Kurikka
403;Lappajärvi
408;Lapua
743;Seinäjoki
759;Soini
846;Teuva
934;Vimpeli
989;Ähtäri
231;Kaskinen
280;Korsnäs
287;Kristiinankaupunki
288;Kruunupyy
399;Laihia
440;Luoto
475;Maalahti
499;Mustasaari
545;Närpiö
598;Pietarsaari
599;Pedersören kunta
893;Uusikaarlepyy
905;Vaasa
946;Vöyri
074;Halsua
217;Kannus
236;Kaustinen
272;Kokkola
421;Lestijärvi
584;Perho
849;Toholampi
924;Veteli
009;Alavieska
069;Haapajärvi
071;Haapavesi
072;Hailuoto
139;Ii
208;Kalajoki
244;Kempele
305;Kuusamo
317;Kärsämäki
425;Liminka
436;Lumijoki
483;Merijärvi
494;Muhos
535;Nivala
563;Oulainen
564;Oulu
615;Pudasjärvi
625;Pyhäjoki
626;Pyhäjärvi
630;Pyhäntä
678;Raahe
691;Reisjärvi
746;Sievi
748;Siikajoki
785;Vaala
791;Siikalatva
832;Taivalkoski
859;Tyrnävä
889;Utajärvi
977;Ylivieska
105;Hyrynsalmi
205;Kajaani
290;Kuhmo
578;Paltamo
620;Puolanka
697;Ristijärvi
765;Sotkamo
777;Suomussalmi
047;Enontekiö
148;Inari
240;Kemi
241;Keminmaa
261;Kittilä
273;Kolari
320;Kemijärvi
498;Muonio
583;Pelkosenniemi
614;Posio
683;Ranua
698;Rovaniemi
732;Salla
742;Savukoski
751;Simo
758;Sodankylä
845;Tervola
851;Tornio
854;Pello
890;Utsjoki
976;Ylitornio
035;Brändö
043;Eckerö
060;Finström
062;Föglö
065;Geta
076;Hammarland
170;Jomala
295;Kumlinge
318;Kökar
417;Lemland
438;Lumparland
478;Maarianhamina
736;Saltvik
766;Sottunga
771;Sund
941;Vårdö
